userName,title,rating,date,version,isEdited,voteCount,review,developerResponse,country,title_clean,review_clean,title_normalized,review_normalized,text_clean,text_normalized,text_length,word_count,has_title,has_review,username_clean
Lindz129p,Negatives,3,2025-08-17 00:06:42+00:00,526.0.0,False,0,When reporting spam accounts or hateful messages there’s no place to add a description. Someone was  impersonating a cat rescuer. I tried to report and fb kept the profile. They need to do a better job identifying bot/scammers/one off accounts,,us,Negatives,When reporting spam accounts or hateful messages there’s no place to add a description. Someone was impersonating a cat rescuer. I tried to report and fb kept the profile. They need to do a better job identifying bot/scammers/one off accounts,negatives,when reporting spam accounts or hateful messages there s no place to add a description. someone was impersonating a cat rescuer. i tried to report and fb kept the profile. they need to do a better job identifying bot scammers one off accounts,Negatives When reporting spam accounts or hateful messages there’s no place to add a description. Someone was impersonating a cat rescuer. I tried to report and fb kept the profile. They need to do a better job identifying bot/scammers/one off accounts,negatives when reporting spam accounts or hateful messages there s no place to add a description. someone was impersonating a cat rescuer. i tried to report and fb kept the profile. they need to do a better job identifying bot scammers one off accounts,252,41,True,True,Lindz129p
Dona Carmen,Adverts,2,2025-08-16 23:51:24+00:00,526.0.0,False,0,I hate the adverts between reels!,,us,Adverts,I hate the adverts between reels!,adverts,i hate the adverts between reels!,Adverts I hate the adverts between reels!,adverts i hate the adverts between reels!,41,7,True,True,Dona Carmen
Street fair,Adventure,4,2025-08-16 23:21:58+00:00,526.0.0,False,0,Awesome adventure will to take a leap of faith.,,us,Adventure,Awesome adventure will to take a leap of faith.,adventure,awesome adventure will to take a leap of faith.,Adventure Awesome adventure will to take a leap of faith.,adventure awesome adventure will to take a leap of faith.,57,10,True,True,Street fair
Potro serrano,Los15 de Briza Serrano,5,2025-08-16 23:13:25+00:00,526.0.0,False,0,Los 15 de Briza,,us,Los15 de Briza Serrano,Los 15 de Briza,los15 de briza serrano,los 15 de briza,Los15 de Briza Serrano Los 15 de Briza,los15 de briza serrano los 15 de briza,38,8,True,True,Potro serrano
Tonga Peninsula 3 ward,Peninsula 3rd ward august 16 Saturday,5,2025-08-16 23:12:07+00:00,526.0.0,False,0,Conference Peni 3,,us,Peninsula 3rd ward august 16 Saturday,Conference Peni 3,peninsula 3rd ward august 16 saturday,conference peni 3,Peninsula 3rd ward august 16 Saturday Conference Peni 3,peninsula 3rd ward august 16 saturday conference peni 3,55,9,True,True,Tonga Peninsula 3 ward
Inlortal,Inmoralidad,1,2025-08-16 22:59:06+00:00,526.0.0,False,0,Respetar el comentario de uno hay peores groserías y face las permite,,us,Inmoralidad,Respetar el comentario de uno hay peores groserías y face las permite,inmoralidad,respetar el comentario de uno hay peores groserías y face las permite,Inmoralidad Respetar el comentario de uno hay peores groserías y face las permite,inmoralidad respetar el comentario de uno hay peores groserías y face las permite,81,13,True,True,Inlortal
Andrei is the Oh,Wrongfully banning acc,1,2025-08-16 22:56:14+00:00,526.0.0,False,0,"You wrongfully banned my mom’s personal and business account on facebook and IG. Facebook and IG was her main source for clients and she is a single mom of 4. Please bring back her accounts
 @imaginationprincessparties and kristina_yakovlev_ on IG on facebook Kristina Cardenas and Imagination princess parties",,us,Wrongfully banning acc,You wrongfully banned my mom’s personal and business account on facebook and IG. Facebook and IG was her main source for clients and she is a single mom of 4. Please bring back her accounts @imaginationprincessparties and kristina_yakovlev_ on IG on facebook Kristina Cardenas and Imagination princess parties,wrongfully banning acc,you wrongfully banned my mom s personal and business account on facebook and ig. facebook and ig was her main source for clients and she is a single mom of 4. please bring back her accounts imaginationprincessparties and kristina_yakovlev_ on ig on facebook kristina cardenas and imagination princess parties,Wrongfully banning acc You wrongfully banned my mom’s personal and business account on facebook and IG. Facebook and IG was her main source for clients and she is a single mom of 4. Please bring back her accounts @imaginationprincessparties and kristina_yakovlev_ on IG on facebook Kristina Cardenas and Imagination princess parties,wrongfully banning acc you wrongfully banned my mom s personal and business account on facebook and ig. facebook and ig was her main source for clients and she is a single mom of 4. please bring back her accounts imaginationprincessparties and kristina_yakovlev_ on ig on facebook kristina cardenas and imagination princess parties,332,51,True,True,Andrei is the Oh
Min Marchigiano,You raise me up,5,2025-08-16 22:49:30+00:00,526.0.0,False,0,Love,,us,You raise me up,Love,you raise me up,love,You raise me up Love,you raise me up love,20,5,True,True,Min Marchigiano
Adanielle315,New option,1,2025-08-16 22:44:24+00:00,526.0.0,False,0,Facebook has never had this before. This is new and as many times as the privacy for Facebook has been updated I always go into my settings and change to make sure. I have everything private. But I get random verified people on my newsfeed and I keep clicking the show less show no more but I still keep getting it.,,us,New option,Facebook has never had this before. This is new and as many times as the privacy for Facebook has been updated I always go into my settings and change to make sure. I have everything private. But I get random verified people on my newsfeed and I keep clicking the show less show no more but I still keep getting it.,new option,facebook has never had this before. this is new and as many times as the privacy for facebook has been updated i always go into my settings and change to make sure. i have everything private. but i get random verified people on my newsfeed and i keep clicking the show less show no more but i still keep getting it.,New option Facebook has never had this before. This is new and as many times as the privacy for Facebook has been updated I always go into my settings and change to make sure. I have everything private. But I get random verified people on my newsfeed and I keep clicking the show less show no more but I still keep getting it.,new option facebook has never had this before. this is new and as many times as the privacy for facebook has been updated i always go into my settings and change to make sure. i have everything private. but i get random verified people on my newsfeed and i keep clicking the show less show no more but i still keep getting it.,326,63,True,True,Adanielle315
Grouperfish😭,Including my old phone number instead of number 4,1,2025-08-16 22:41:48+00:00,526.0.0,False,0,Due to technical issue,,us,Including my old phone number instead of number 4,Due to technical issue,including my old phone number instead of number 4,due to technical issue,Including my old phone number instead of number 4 Due to technical issue,including my old phone number instead of number 4 due to technical issue,72,13,True,True,Grouperfish😭
