userName,title,rating,date,version,isEdited,voteCount,review,developerResponse,country
Lindz129p,Negatives,3,2025-08-17T00:06:42Z,526.0.0,False,0,When reporting spam accounts or hateful messages there’s no place to add a description. Someone was  impersonating a cat rescuer. I tried to report and fb kept the profile. They need to do a better job identifying bot/scammers/one off accounts,,us
Dona Carmen,Adverts,2,2025-08-16T23:51:24Z,526.0.0,False,0,I hate the adverts between reels!,,us
Street fair,Adventure,4,2025-08-16T23:21:58Z,526.0.0,False,0,Awesome adventure will to take a leap of faith.,,us
Potro serrano,Los15 de Briza Serrano,5,2025-08-16T23:13:25Z,526.0.0,False,0,Los 15 de Briza,,us
Tonga Peninsula 3 ward,Peninsula 3rd ward august 16 Saturday,5,2025-08-16T23:12:07Z,526.0.0,False,0,Conference Peni 3,,us
Inlortal,Inmoralidad,1,2025-08-16T22:59:06Z,526.0.0,False,0,Respetar el comentario de uno hay peores groserías y face las permite,,us
Andrei is the Oh,Wrongfully banning acc,1,2025-08-16T22:56:14Z,526.0.0,False,0,"You wrongfully banned my mom’s personal and business account on facebook and IG. Facebook and IG was her main source for clients and she is a single mom of 4. Please bring back her accounts
 @imaginationprincessparties and kristina_yakovlev_ on IG on facebook Kristina Cardenas and Imagination princess parties",,us
Min Marchigiano,You raise me up,5,2025-08-16T22:49:30Z,526.0.0,False,0,Love,,us
Adanielle315,New option,1,2025-08-16T22:44:24Z,526.0.0,False,0,Facebook has never had this before. This is new and as many times as the privacy for Facebook has been updated I always go into my settings and change to make sure. I have everything private. But I get random verified people on my newsfeed and I keep clicking the show less show no more but I still keep getting it.,,us
Grouperfish😭,Including my old phone number instead of number 4,1,2025-08-16T22:41:48Z,526.0.0,False,0,Due to technical issue,,us
Yazoo Batman,App and website clearly needs work,2,2025-08-16T22:36:12Z,526.0.0,False,0,"At times, it becomes an guessing game when running adds",,us
Grandbady,Delete,1,2025-08-16T22:27:12Z,526.0.0,False,0,It needs a choice where u can delete ur account,,us
Pie31415929,Cant use links,1,2025-08-16T22:11:19Z,526.0.0,False,0,"You can’t use hyperlinks on this app. They’ve tried, believe me, but this simple, 2007 design is too complicated for them…",,us
El calakitas,El calakitas,5,2025-08-16T22:00:05Z,526.0.0,False,0,Muy bien,,us
Fay Nation,Enjoy,4,2025-08-16T21:44:50Z,526.0.0,False,0,I really enjoy connecting and staying in touch with family and life associates. I also value it’s opportunities like working with Meta to make money.,,us
Now hey,Love Facebook,5,2025-08-16T21:44:15Z,526.0.0,False,0,Nice app 🫰🏻💛,,us
Joaquin4358,Thanks,5,2025-08-16T21:42:15Z,526.0.0,False,0,"Thanks for helping us be connected and updated with our family members, classmates and friends.",,us
We make lemonade,Decent,4,2025-08-16T21:40:25Z,526.0.0,False,0,"My algorithm is behaving for a change. As long as you keep the cat memes and the Bible quotes, it’s all good.",,us
Lachelle❤️🌹,The Creator Of Facebook Is Sensitive!!,1,2025-08-16T21:38:40Z,526.0.0,False,0,This app is horrible should have been deleted along time ago.,,us
JK Gen Merch,JK Gen Merch,4,2025-08-16T20:54:06Z,526.0.0,False,0,Legit hindi manloloko,,us
Forced to make a nickname.,They made it even worse,2,2025-08-16T20:41:22Z,526.0.0,False,0,The FB iPad app has always been kind of a mess with things not loading correctly and insanely bad sorting of posts. Now they moved the Like button to the bottom right for some stupid reason and made some other horrible design decisions.,,us
