userName,title,rating,date,version,isEdited,voteCount,review,developerResponse,country
Dani’jhaye Guyton,I hate TikTok not even fun at all such a piss of,1,2025-08-16T23:40:27Z,41.2.0,False,0,I gave it a 1 star,,us
BriDonn,Guidelines,3,2025-08-16T23:04:33Z,41.2.0,False,0,Blocking everything but racist comments from bots and people with no pfp.,,us
Boomdome,Messenger says no,5,2025-08-16T22:46:27Z,41.2.0,False,0,"When anyone sends me a video from tik tok on messenger and I click on it, it just sends me to the App Store. I can never see the video that people send me on messenger.",,us
Eeekkk1233,Eekkkkk,5,2025-08-16T22:27:44Z,41.2.0,False,0,Love this app harassed my ex on it enough we got back tg 😝,,us
To be a great day to be a,To be a great day to be a great da,5,2025-08-16T22:19:22Z,41.2.0,False,0,Be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to,,us
Bro dontneednomfname,Problems,2,2025-08-16T22:17:01Z,41.2.0,False,0,First of all all day u have been having issues with my app bro it’s making me mad and annoyed,,us
Taylor189,Leaving sept 13 you sell outs,1,2025-08-16T22:16:43Z,41.2.0,False,0,"I used to go on everyday for hours but open maybe 3 times a week. After yall came back  after the shutdown yall seem bought out. I would've rather yall just shut down than be sold. Nothing but adds now. My fyp is rarely what it used to be. I report clearly racist comments/content all the time and yall say it's fine...but then send me a violation for a screenshot of a tiktok that was literally a older women standing there and two adults sitting at a table, nothing more. Straight trash of you. But what has broken the straw is your new policies. So just take our free speech away? That is what makes TikTok TikTok. Plus a few other new changes. Yea I'm leaving when that happens, bunch of sell outs",,us
Keiyzirah,HIII,5,2025-08-16T21:38:15Z,41.2.0,False,0,I love your app except for the fact it says 12+ but u age retrict 12 year olds,,us
FartNuggets_69😼,It's tiktok,5,2025-08-16T20:51:33Z,41.2.0,False,0,What else u want from me gng,,us
Andiddyyyy,I love TikTok,5,2025-08-16T20:44:41Z,41.2.0,False,0,I love TikTok so much I love it so much I love it so much,,us
luisgamercool23woeo,hi,5,2025-08-16T20:36:19Z,41.2.0,False,0,where are the stickers.,,us
AAJAJAJAJANANANNAJ,I HATE TIKTOK,1,2025-08-16T20:27:59Z,41.2.0,False,0,TIKTOK HLT BE BANNED FOR NO REASON I HATE TIKTPK AAAAAAAAAAA I VANT TALK TO MY FRIENDS NOW,,us
god meep,Controlled media.,1,2025-08-16T20:25:38Z,41.2.0,False,0,"This review might get taken down. 
TikTok used to be a free app, an entertaining app, and a news source for many. Now it’s being controlled by the trump administration to where it is censoring anything against the administration. The admin is controlling the app to show only things it wants us to see. My best recommendation is to erase the app if you already have it, or to never download the app. We need to use a different news source. TikTok will cease to exist in a couple months just before the launch of a new app called “M”, which is an even more heavily monitored app. The United States is no longer united. The country and its government is not about to fall… it is already falling. An empire which was respected by the entire world is now vanishing, becoming the laughing stock of the world. Our country is being controlled by the elite and by the greedy. We are being separated by in categories. Extremely Rich and filthy poor. They are going to completely take control of the working class if we don’t do anything. Overthrowing governments is in our rights in the constitution which too have been changed to benefit the trump admin. Peaceful protests will not get us anywhere. What we need is rebellion. The government will not be able to handle millions of us. What side of history will you be on?",,us
RobinRobert…,Terrible,1,2025-08-16T20:19:20Z,41.2.0,False,0,Terrible app to many nude stuff all over videos and other things very bad app,,us
Mah’kayla,TikTok,1,2025-08-16T20:11:11Z,41.2.0,False,0,It will not let me download the app,,us
My little 5 star rating,Hashtag Limit..,3,2025-08-16T19:58:40Z,41.2.0,False,0,"It would be 5 if my hashtag limit wasn’t 5. yes. FIVE. 5 hashtags per video. That allows me to get less views and likes. It was 7. Which I didn’t really mind but was still annoying, but then I’m posting and it says “Hashtag Limit reached, only 5” or something. Please make it to where there isn’t a limit. Thanks.",,us
BzFrmTheVi,Well done,5,2025-08-16T19:34:53Z,41.2.0,False,0,IG who?,,us
Cummlovers,Unban me,1,2025-08-16T19:20:25Z,41.2.0,False,0,I got banned for no reason all I post is my bike,,us
Fin ed srt,Gay,1,2025-08-16T19:19:06Z,41.2.0,False,0,No this app is terrible it screws with your brain china made it to mess us people up.,,us
theamazingpotao,Deleting all of reposts,5,2025-08-16T19:04:07Z,41.2.0,False,0,I was wondering if you could add a button for removing all of your reposts entirely instead of doing it one by one because I wanna remove all of my reposts but I repost alot and I’ve been doing so since like 2022 or ever since the repost button was added I feel like it would make it easier for alot of peope,,us
kimbo09118,Sometimes sad and happy,4,2025-08-16T18:55:04Z,41.2.0,False,0,My dream is become a,,us
ashispookie,Mic,5,2025-08-16T18:44:51Z,41.2.0,False,0,Pls give me microphone to talk w my friends,,us
ᴢᴏᴍʙs ིྀ,BEST APP EVER!,4,2025-08-16T18:43:06Z,41.2.0,False,0,"TikTok has to be one of the best apps ever, I can edit and post, it finds my interests and lots more. Only problem is reaching my edits out to the right people, I would like if TikTok pushed the small creators/editors out on the fyp more but either then that, it is an awesome app!",,us
Jakes.f30,Support/age verification,1,2025-08-16T18:31:26Z,41.2.0,False,0,"TikTok’s support is an utter joke, it’s the worst form of support you can get from an ai assistant and personal human assistant, the human assistants get paid to basically tell you they can’t help you because they don’t know how to do their job. This has been an on going thing with their support system, I’m 28 and been trying to verify my age on TikTok but TikTok keeps having issues on their end on their servers but they are quick to point blame from their support personal rather than take their own accountability even though they have the money and needs to fix the current and on going issues",,us
Veerveee,hashtag limit..,3,2025-08-16T18:29:03Z,41.2.0,False,0,I hate the fact you added a limit to the hashtags. only 5?? FIVE hashtags. How are most people going to get more reach?? I have a small page of followers and whatnot it’s really aggravating and I find it pointless that there’s a limit to it. I haven’t been getting the amount of views i’ve usually been receiving. I’m able to get more views when im using more tags.,,us
Heidimv74,Bye tiktok,1,2025-08-16T18:22:26Z,41.2.0,False,0,The new guidelines  put out nobody's going to be on this app you're going to lose everybody.,,us
Rito Hernández,Rito Hernández,5,2025-08-16T18:13:35Z,41.2.0,False,0,Rito Hernández,,us
keke-cham,Community Guidelines,2,2025-08-16T18:05:30Z,41.2.0,False,0,"You guys keep removing my comments when I’m talking to racist… people with comment calling black peoole animals and all these other things and it still up but I defend and say that it’s not true and that what they are saying is disgusting and disrespectful I get my comment removed, this has happened multiple times and it’s annoying. People are able to be naked and make racist statements/videos but when I defend others and call people out it’s an issue… This keeps happening and it’s not cool you’re fine with people calling black women manly but me saying it’s disgusting and racist it’s an issue(I see where you guys align) 

I’m back again lol so I ended up deleting TikTok for a second because it took up too much storage and I’m trying log back in it’s saids to use my phone number neigh I did got the code and then it’s said to verify with password(which is dumb because I just used my phone number which should be enough) and I clearly forgot my password because I had this account for years tried to reset it and it’s saids I couldn’t like what and now I’m out of tries like ughh",,us
𝕍𝕖𝕝𝕝,"this app banned me it said 12 and older I’m 12 and I took a picture of myself to go live, and they b",1,2025-08-16T17:35:47Z,41.2.0,False,0,I hate this app This is why they need a banner.,,us
