userName,title,rating,date,version,isEdited,voteCount,review,developerResponse,country,title_clean,review_clean,title_normalized,review_normalized,text_clean,text_normalized,text_length,word_count,has_title,has_review,username_clean
Dani’jhaye Guyton,I hate TikTok not even fun at all such a piss of,1,2025-08-16 23:40:27+00:00,41.2.0,False,0,I gave it a 1 star,,us,I hate TikTok not even fun at all such a piss of,I gave it a 1 star,i hate tiktok not even fun at all such a piss of,i gave it a 1 star,I hate TikTok not even fun at all such a piss of I gave it a 1 star,i hate tiktok not even fun at all such a piss of i gave it a 1 star,67,18,True,True,Dani’jhaye Guyton
BriDonn,Guidelines,3,2025-08-16 23:04:33+00:00,41.2.0,False,0,Blocking everything but racist comments from bots and people with no pfp.,,us,Guidelines,Blocking everything but racist comments from bots and people with no pfp.,guidelines,blocking everything but racist comments from bots and people with no pfp.,Guidelines Blocking everything but racist comments from bots and people with no pfp.,guidelines blocking everything but racist comments from bots and people with no pfp.,84,13,True,True,BriDonn
Boomdome,Messenger says no,5,2025-08-16 22:46:27+00:00,41.2.0,False,0,"When anyone sends me a video from tik tok on messenger and I click on it, it just sends me to the App Store. I can never see the video that people send me on messenger.",,us,Messenger says no,"When anyone sends me a video from tik tok on messenger and I click on it, it just sends me to the App Store. I can never see the video that people send me on messenger.",messenger says no,"when anyone sends me a video from tik tok on messenger and i click on it, it just sends me to the application store. i can never see the video that people send me on messenger.","Messenger says no When anyone sends me a video from tik tok on messenger and I click on it, it just sends me to the App Store. I can never see the video that people send me on messenger.","messenger says no when anyone sends me a video from tik tok on messenger and i click on it, it just sends me to the application store. i can never see the video that people send me on messenger.",186,39,True,True,Boomdome
Eeekkk1233,Eekkkkk,5,2025-08-16 22:27:44+00:00,41.2.0,False,0,Love this app harassed my ex on it enough we got back tg 😝,,us,Eekkkkk,Love this app harassed my ex on it enough we got back tg 😝,eekkkkk,love this application harassed my ex on it enough we got back tg,Eekkkkk Love this app harassed my ex on it enough we got back tg 😝,eekkkkk love this application harassed my ex on it enough we got back tg,66,15,True,True,Eeekkk1233
To be a great day to be a,To be a great day to be a great da,5,2025-08-16 22:19:22+00:00,41.2.0,False,0,Be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to,,us,To be a great day to be a great da,Be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to,to be a great day to be a great da,be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to,To be a great day to be a great da Be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to,to be a great day to be a great da be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to be a great day to,286,80,True,True,To be a great day to be a
Bro dontneednomfname,Problems,2,2025-08-16 22:17:01+00:00,41.2.0,False,0,First of all all day u have been having issues with my app bro it’s making me mad and annoyed,,us,Problems,First of all all day u have been having issues with my app bro it’s making me mad and annoyed,problems,first of all all day u have been having issues with my application bro it s making me mad and annoyed,Problems First of all all day u have been having issues with my app bro it’s making me mad and annoyed,problems first of all all day u have been having issues with my application bro it s making me mad and annoyed,102,21,True,True,Bro dontneednomfname
Taylor189,Leaving sept 13 you sell outs,1,2025-08-16 22:16:43+00:00,41.2.0,False,0,"I used to go on everyday for hours but open maybe 3 times a week. After yall came back  after the shutdown yall seem bought out. I would've rather yall just shut down than be sold. Nothing but adds now. My fyp is rarely what it used to be. I report clearly racist comments/content all the time and yall say it's fine...but then send me a violation for a screenshot of a tiktok that was literally a older women standing there and two adults sitting at a table, nothing more. Straight trash of you. But what has broken the straw is your new policies. So just take our free speech away? That is what makes TikTok TikTok. Plus a few other new changes. Yea I'm leaving when that happens, bunch of sell outs",,us,Leaving sept 13 you sell outs,"I used to go on everyday for hours but open maybe 3 times a week. After yall came back after the shutdown yall seem bought out. I would've rather yall just shut down than be sold. Nothing but adds now. My fyp is rarely what it used to be. I report clearly racist comments/content all the time and yall say it's fine. . . but then send me a violation for a screenshot of a tiktok that was literally a older women standing there and two adults sitting at a table, nothing more. Straight trash of you. But what has broken the straw is your new policies. So just take our free speech away? That is what makes TikTok TikTok. Plus a few other new changes. Yea I'm leaving when that happens, bunch of sell outs",leaving sept 13 you sell outs,"i used to go on everyday for hours but open maybe 3 times a week. after yall came back after the shutdown yall seem bought out. i would ve rather yall just shut down than be sold. nothing but adds now. my fyp is rarely what it used to be. i report clearly racist comments content all the time and yall say it is fine. . . but then send me a violation for a screenshot of a tiktok that was literally a older women standing there and two adults sitting at a table, nothing more. straight trash of you. but what has broken the straw is your new policies. so just take our free speech away? that is what makes tiktok tiktok. plus a few other new changes. yea i am leaving when that happens, bunch of sell outs","Leaving sept 13 you sell outs I used to go on everyday for hours but open maybe 3 times a week. After yall came back after the shutdown yall seem bought out. I would've rather yall just shut down than be sold. Nothing but adds now. My fyp is rarely what it used to be. I report clearly racist comments/content all the time and yall say it's fine. . . but then send me a violation for a screenshot of a tiktok that was literally a older women standing there and two adults sitting at a table, nothing more. Straight trash of you. But what has broken the straw is your new policies. So just take our free speech away? That is what makes TikTok TikTok. Plus a few other new changes. Yea I'm leaving when that happens, bunch of sell outs","leaving sept 13 you sell outs i used to go on everyday for hours but open maybe 3 times a week. after yall came back after the shutdown yall seem bought out. i would ve rather yall just shut down than be sold. nothing but adds now. my fyp is rarely what it used to be. i report clearly racist comments content all the time and yall say it is fine. . . but then send me a violation for a screenshot of a tiktok that was literally a older women standing there and two adults sitting at a table, nothing more. straight trash of you. but what has broken the straw is your new policies. so just take our free speech away? that is what makes tiktok tiktok. plus a few other new changes. yea i am leaving when that happens, bunch of sell outs",733,142,True,True,Taylor189
Keiyzirah,HIII,5,2025-08-16 21:38:15+00:00,41.2.0,False,0,I love your app except for the fact it says 12+ but u age retrict 12 year olds,,us,HIII,I love your app except for the fact it says 12+ but u age retrict 12 year olds,hiii,i love your application except for the fact it says 12 but u age retrict 12 year olds,HIII I love your app except for the fact it says 12+ but u age retrict 12 year olds,hiii i love your application except for the fact it says 12 but u age retrict 12 year olds,83,19,True,True,Keiyzirah
FartNuggets_69😼,It's tiktok,5,2025-08-16 20:51:33+00:00,41.2.0,False,0,What else u want from me gng,,us,It's tiktok,What else u want from me gng,it is tiktok,what else u want from me gng,It's tiktok What else u want from me gng,it is tiktok what else u want from me gng,40,9,True,True,FartNuggets_69😼
Andiddyyyy,I love TikTok,5,2025-08-16 20:44:41+00:00,41.2.0,False,0,I love TikTok so much I love it so much I love it so much,,us,I love TikTok,I love TikTok so much I love it so much I love it so much,i love tiktok,i love tiktok so much i love it so much i love it so much,I love TikTok I love TikTok so much I love it so much I love it so much,i love tiktok i love tiktok so much i love it so much i love it so much,71,18,True,True,Andiddyyyy
