userName,title,rating,date,version,isEdited,voteCount,review,developerResponse,country,title_clean,review_clean,title_normalized,review_normalized,text_clean,text_normalized,text_length,word_count,has_title,has_review,username_clean
Swifties rule!,YouTube Is awesome but…….,3,2025-08-17 15:25:32+00:00,20.32.5,False,0,YouTube has great videos and just fun to watch. But I don’t now if it’s just me but I get addicted and there some inappropriate videos on there.,,us,YouTube Is awesome but. . .,YouTube has great videos and just fun to watch. But I don’t now if it’s just me but I get addicted and there some inappropriate videos on there.,youtube is awesome but. . .,youtube has great videos and just fun to watch. but i don t now if it s just me but i get addicted and there some inappropriate videos on there.,YouTube Is awesome but. . . YouTube has great videos and just fun to watch. But I don’t now if it’s just me but I get addicted and there some inappropriate videos on there.,youtube is awesome but. . . youtube has great videos and just fun to watch. but i don t now if it s just me but i get addicted and there some inappropriate videos on there.,172,34,True,True,Swifties rule!
UserWhatever123,Give your id to watch inappropriate ads!,1,2025-08-17 15:16:50+00:00,20.32.5,False,0,A bunch of inappropriate ads and I have to put my id in to view them? No. Used YouTube for years but now I’m done.,,us,Give your id to watch inappropriate ads!,A bunch of inappropriate ads and I have to put my id in to view them? No. Used YouTube for years but now I’m done.,give your id to watch inappropriate ads!,a bunch of inappropriate ads and i have to put my id in to view them? no. used youtube for years but now i m done.,Give your id to watch inappropriate ads! A bunch of inappropriate ads and I have to put my id in to view them? No. Used YouTube for years but now I’m done.,give your id to watch inappropriate ads! a bunch of inappropriate ads and i have to put my id in to view them? no. used youtube for years but now i m done.,155,32,True,True,UserWhatever123
godspeed vs savitar,YouTube is the best APP😃,5,2025-08-17 15:15:09+00:00,20.32.5,False,0,YouTube is the best app because you can watch videos and it can make you feel comfortable and enjoy watching videos like royalty family,,us,YouTube is the best APP😃,YouTube is the best app because you can watch videos and it can make you feel comfortable and enjoy watching videos like royalty family,youtube is the best app,youtube is the best application because you can watch videos and it can make you feel comfortable and enjoy watching videos like royalty family,YouTube is the best APP😃 YouTube is the best app because you can watch videos and it can make you feel comfortable and enjoy watching videos like royalty family,youtube is the best app youtube is the best application because you can watch videos and it can make you feel comfortable and enjoy watching videos like royalty family,160,29,True,True,godspeed vs savitar
Liam zombie k,Idiots,1,2025-08-17 15:06:34+00:00,20.32.5,False,0,Get that ai glunch outta here or they gon touch you,,us,Idiots,Get that ai glunch outta here or they gon touch you,idiots,get that ai glunch outta here or they gon touch you,Idiots Get that ai glunch outta here or they gon touch you,idiots get that ai glunch outta here or they gon touch you,58,12,True,True,Liam zombie k
12cdprice,My mom took it off,5,2025-08-17 14:47:25+00:00,20.32.5,False,0,1 star i love it but it’s not good for me,,us,My mom took it off,1 star i love it but it’s not good for me,my mom took it off,1 star i love it but it s not good for me,My mom took it off 1 star i love it but it’s not good for me,my mom took it off 1 star i love it but it s not good for me,60,16,True,True,12cdprice
Charlie cat 2013,Terrible,1,2025-08-17 14:37:58+00:00,20.32.5,False,0,Absolutely terrible. I keep getting reported for no reason and can’t do anything,,us,Terrible,Absolutely terrible. I keep getting reported for no reason and can’t do anything,terrible,absolutely terrible. i keep getting reported for no reason and can t do anything,Terrible Absolutely terrible. I keep getting reported for no reason and can’t do anything,terrible absolutely terrible. i keep getting reported for no reason and can t do anything,89,14,True,True,Charlie cat 2013
"48;6.7;&,):&)$:);&:$.&,",Ai is bad,1,2025-08-17 14:19:45+00:00,20.32.5,False,0,Stop using ai,,us,Ai is bad,Stop using ai,ai is bad,stop using ai,Ai is bad Stop using ai,ai is bad stop using ai,23,6,True,True,"48; 6. 7; &, ): &)$: ); &: $. &,"
banjamin91,The player is annoying,1,2025-08-17 14:18:22+00:00,20.32.5,False,0,I close it out to answer a message and the player stays on my screen.,,us,The player is annoying,I close it out to answer a message and the player stays on my screen.,the player is annoying,i close it out to answer a message and the player stays on my screen.,The player is annoying I close it out to answer a message and the player stays on my screen.,the player is annoying i close it out to answer a message and the player stays on my screen.,92,19,True,True,banjamin91
Xci-fier,"Great, but with a tiny issue (no pun intended)",4,2025-08-17 14:13:42+00:00,20.32.5,False,0,The problem is that small tubers with under 500 subscribers are barely shown but the worst part is that even BRAINROT CHANNELS are more likely to see problem aside it’s the G.O.A.T.,,us,"Great, but with a tiny issue (no pun intended)",The problem is that small tubers with under 500 subscribers are barely shown but the worst part is that even BRAINROT CHANNELS are more likely to see problem aside it’s the G. O. A. T.,"great, but with a tiny issue no pun intended",the problem is that small tubers with under 500 subscribers are barely shown but the worst part is that even brainrot channels are more likely to see problem aside it s the g. o. a. t.,"Great, but with a tiny issue (no pun intended) The problem is that small tubers with under 500 subscribers are barely shown but the worst part is that even BRAINROT CHANNELS are more likely to see problem aside it’s the G. O. A. T.","great, but with a tiny issue no pun intended the problem is that small tubers with under 500 subscribers are barely shown but the worst part is that even brainrot channels are more likely to see problem aside it s the g. o. a. t.",231,44,True,True,Xci-fier
Seabreezes954,YouTube could be better,3,2025-08-17 14:05:08+00:00,20.32.5,False,0,TOO many commercial interruptions,,us,YouTube could be better,TOO many commercial interruptions,youtube could be better,too many commercial interruptions,YouTube could be better TOO many commercial interruptions,youtube could be better too many commercial interruptions,57,8,True,True,Seabreezes954
Glyched,AI age verification is a bad policy!,1,2025-08-17 14:01:38+00:00,20.32.5,False,0,New policy will drastically downgrade user experience. I got rid of my premium subscription and will now only use the app when absolutely necessary.,,us,AI age verification is a bad policy!,New policy will drastically downgrade user experience. I got rid of my premium subscription and will now only use the app when absolutely necessary.,ai age verification is a bad policy!,new policy will drastically downgrade user experience. i got rid of my premium subscription and will now only use the application when absolutely necessary.,AI age verification is a bad policy! New policy will drastically downgrade user experience. I got rid of my premium subscription and will now only use the app when absolutely necessary.,ai age verification is a bad policy! new policy will drastically downgrade user experience. i got rid of my premium subscription and will now only use the application when absolutely necessary.,185,31,True,True,Glyched
