userName,title,rating,date,version,isEdited,voteCount,review,developerResponse,country
Swifties rule!,YouTube Is awesome but…….,3,2025-08-17T15:25:32Z,20.32.5,False,0,YouTube has great videos and just fun to watch. But I don’t now if it’s just me but I get addicted and there some inappropriate videos on there.,,us
UserWhatever123,Give your id to watch inappropriate ads!,1,2025-08-17T15:16:50Z,20.32.5,False,0,A bunch of inappropriate ads and I have to put my id in to view them? No. Used YouTube for years but now I’m done.,,us
godspeed vs savitar,YouTube is the best APP😃,5,2025-08-17T15:15:09Z,20.32.5,False,0,YouTube is the best app because you can watch videos and it can make you feel comfortable and enjoy watching videos like royalty family,,us
Liam zombie k,Idiots,1,2025-08-17T15:06:34Z,20.32.5,False,0,Get that ai glunch outta here or they gon touch you,,us
12cdprice,My mom took it off,5,2025-08-17T14:47:25Z,20.32.5,False,0,1 star i love it but it’s not good for me,,us
Charlie cat 2013,Terrible,1,2025-08-17T14:37:58Z,20.32.5,False,0,Absolutely terrible. I keep getting reported for no reason and can’t do anything,,us
"48;6.7;&,):&)$:);&:$.&,",Ai is bad,1,2025-08-17T14:19:45Z,20.32.5,False,0,Stop using ai,,us
banjamin91,The player is annoying,1,2025-08-17T14:18:22Z,20.32.5,False,0,I close it out to answer a message and the player stays on my screen.,,us
Xci-fier,"Great, but with a tiny issue (no pun intended)",4,2025-08-17T14:13:42Z,20.32.5,False,0,The problem is that small tubers with under 500 subscribers are barely shown but the worst part is that even BRAINROT CHANNELS are more likely to see problem aside it’s the G.O.A.T.,,us
Seabreezes954,YouTube could be better,3,2025-08-17T14:05:08Z,20.32.5,False,0,TOO many commercial interruptions,,us
Glyched,AI age verification is a bad policy!,1,2025-08-17T14:01:38Z,20.32.5,False,0,New policy will drastically downgrade user experience. I got rid of my premium subscription and will now only use the app when absolutely necessary.,,us
PB Charlie,Simple and Clear,5,2025-08-17T14:00:07Z,20.32.5,False,0,And to the point. What more can I say,,us
RebYell5,Almost unusable now,1,2025-08-17T13:41:22Z,20.32.5,False,0,"Remember when Youtube was good?  Now it's commercials every 3 minutes, a search feature that gives you everything but what you searched for, ads that pop up just because you paused the video for even 1/10 of a second, the same video recommendations over and over, and Google stealing your personal information.  Everything is run by ""the algorithm"" which has nothing to do with being helpful and everything to do with showing you more ads and channels Youtube wants you to see.  Unfortunately, there's not a real viable alternative that's yet really picked up steam.  I'll give Youtube some praise for still having a relatively good interface, but mostly it just feels like a platform to show ads and take personal information now.

And now they want even more personal information, to restrict access to accounts and require people to give their government-issued ID to prove they're adults to protect ""the kids.""  This is basically why Google exists now:  to take your information.",,us
SeanGotGjally,Video failed to load,1,2025-08-17T13:36:33Z,20.32.5,False,0,"Nothing works anymore video wise. Every video is just fail to load, tap to try again. Don’t know what they did this morning but it basically bricked the app for me.",,us
brennanMKE,Membership yet cannot watch videos,1,2025-08-17T13:29:10Z,20.32.5,False,0,"As a member on a channel I should be able to watch videos on a channel yet it shows a message for the video saying I must be a member. I’m listed as member. It does not work on my iPhone, iPad or Apple TV. This app is always so buggy. I wish there were other apps I could use to watch YouTube content.",,us
Carly fever,Life saver,4,2025-08-17T13:06:04Z,20.32.5,False,0,I have to say YouTube has saved my life/ Cures my depression and anxiety. I’m paralyzed from a motorcycle accident 10 years ago so just think how much time I probably spend scrolling? Just trying to change my suicidal thoughts,,us
Lilmont789,Drop AI age verification,1,2025-08-17T12:41:52Z,20.32.5,False,0,"We do not need further AI cluttering up all the space YouTube has.  YouTube is a place for creation by people, real people.",,us
Okarun_rps,I <3 YouTube,5,2025-08-17T12:37:22Z,20.32.5,False,0,YouTube is so good I can always find what I want on here  and I mean everything so I <3 YouTube,,us
