userName,title,rating,date,version,isEdited,voteCount,review,developerResponse,country
Akshay2021,Facebook feedback,1,2025-08-17T15:25:45Z,526.0.0,False,0,"Instead of showing my friends’ posts and adventures which is why everyone joined in the first place, facebook shows mindless suggestions and ads which have zero relevance and that’s why everyone has left Facebook. It’s a matter of time before everyone will leave.",,us
Droner boner,Staying in Touch!,5,2025-08-17T15:14:19Z,526.0.0,False,0,Great place to check in with the comm!,,us
followers323457,ADS,5,2025-08-17T15:10:37Z,526.0.0,False,0,To many ads and random accounts that I didn’t accept,,us
Batmanryguy,Restrict speech,1,2025-08-17T15:07:19Z,526.0.0,False,0,"My friends get their posts deleted for nothing political, its bikini pics!",,us
Masha Tei,Friends posts,3,2025-08-17T15:05:55Z,526.0.0,False,0,Would like to see less commercial ads and more friends updates,,us
Danutajazz,Best Solar,5,2025-08-17T14:56:45Z,526.0.0,False,0,"I save so much money since I switched to solar.
James is great and he explains  just how the billing works.
He answered all my questions and I was able to make a smart decision to switch to solar based on his knowledge and expertise.
I highly recommend Power Upgrade Solar.",,us
Sunshinegayle,😳,4,2025-08-17T14:44:43Z,526.0.0,False,0,"I would like to see BAD language added for a reason to delete a post! Tooooooo many ads! Also… businesses selling on Facebook need to be vetted to make sure they are legit.  Also a lot of 
Nude picture I didn’t ask for.  Not clicking on them to remove them.",,us
Poderosa bendiciones,Poderosa,5,2025-08-17T14:23:13Z,526.0.0,False,0,Me gusta Facebook es completo gracias por todo bendiciones,,us
FOXXXXX0X,العراق,1,2025-08-17T14:13:55Z,526.0.0,False,0,التحديث الأخير سيئ جدا شكل التعليقات سيئ اتمنى ان يعود الشكل القديم قبل حذف التطبيق,,us
ابو زيرك,كردستان العراق,5,2025-08-17T14:05:42Z,526.0.0,False,0,جيد جدا,,us
AE12789,☑️,5,2025-08-17T13:57:31Z,526.0.0,False,0,✅,,us
tripunia,Newest update makes comments look ugly,1,2025-08-17T13:17:29Z,526.0.0,False,0,"I don’t know why meta is trying to make the comments look like TikTok, but stop. It’s ugly. Would give zero stars. Give me my comment bubbles back and put the like and reply buttons back where they were. Ugliest update in a while.",,us
"Feland, Trigg",1 star,1,2025-08-17T13:16:29Z,526.0.0,False,0,I haven’t even been on the actual app I signed up for everything and it says you have submitted a appeal like I haven’t even been able to do anything I’m just trying to get to Facebook marketplace so can you please help fix this for me,,us
D suson,Family,5,2025-08-17T13:15:12Z,526.0.0,False,0,"This Facebook has enabled many families to share and relocate their children,friends,family, business 
and other entities.",,us
Near accurate joint venture,Wonderful FFFF’s,5,2025-08-17T13:13:21Z,526.0.0,False,0,"One it’s so blurish, second it doesn’t ring up, and third LLL UP IN BIG RED PRINT hour for yachting or sailing",,us
RobertofPisa,Feed,2,2025-08-17T13:04:38Z,526.0.0,False,0,"My feed has turned from friends posts and occasional posts from what I’m following, but now it’s turned into a commercial free for all with too many posts that I don’t want to see, and far too many AI content postings.",,us
gor.nik,"Hello, I’m having an issue with Facebook Marketplace",1,2025-08-17T13:03:51Z,526.0.0,False,0,"Hello, I’m having an issue with Facebook Marketplace. I’m trying to post a listing, but it doesn’t work. It always shows an error message saying something went wrong. I’ve already tried many different ways: logging out and back in, using my computer, saving as a draft first and then publishing — but nothing helps. The listing simply doesn’t get published anywhere. Could you please help me? Why is this happening and what should I do to fix it?",,us
Foxxy ice,A fantastic evening,5,2025-08-17T12:43:58Z,526.0.0,False,0,In life you must do things to bring happiness.,,us
NotTakenUsername123454321,Marketplace needs help,1,2025-08-17T12:39:20Z,526.0.0,False,0,TURN OFF 1 CLICK FOR IS THIS AVAILABLE,,us
Wizzardekiti,Response they are great,5,2025-08-17T12:39:06Z,526.0.0,False,0,Th,,us
mony-jimmy,Grandiosa,5,2025-08-17T12:11:15Z,526.0.0,False,0,Tener tantas opciones para subir tus videos y de ser tú mismo es importante.,,us
corre3672,The end of freedom for Americans,1,2025-08-17T11:53:57Z,526.0.0,False,0,"Facebook has become a monster destroying  lives. Facebook published liberal and woke lies but tries to control the opinions of conservatives.

This media attempt needs to be destroyed. Any liberal democrat should be banned from spewing lies 
Trump or a maga supporting individual is scrutinized for every thing they say and do. Freedom of speech was not meant to for the ugly lies coming from their months. To see Facebook being allowed to spew hate is a travesty.

Facebook is an American terrorist.",,us
ALAM MD NAZMUL,Best,5,2025-08-17T11:48:17Z,526.0.0,False,0,The only and best social platform in the world,,us
L-J-L-J,iPad version is glitchy,3,2025-08-17T11:44:38Z,526.0.0,False,0,"The iPad version has had problems for a while now. Like, when you type into the search box, you cannot see what you are typing as you type. This does not happen with the iPhone version. 

Now I’m having problems with notifications. I will get badges telling me how many notifications I have, but when I try to find them, either they don’t load or just one loads. Again, the iPhone version shows the very notifications that won’t show up on the iPad. The problem with notifications only started on 8/14/2025.",,us
El Lobo Sólido,No sense,1,2025-08-17T11:30:54Z,526.0.0,False,0,"I had Facebook with only my daughter and my 4 grandkids from the Philippines and my number was hacked, now to reinstate it they want me to send a video of my face, if they hacked my number can you imagine what they could do with the video of my face? 
How stupid can Facebook get, I will just find a new way to be in contact with my family",,us
1000slimes,I love facebook,5,2025-08-17T11:29:27Z,526.0.0,False,0,Gracias facebook,,us
Ho2ter,Languages,2,2025-08-17T11:24:46Z,526.0.0,False,0,You need a language selection for the videos. Swiping through I been having to block the person cuz I do not know that language.,,us
Sarah Nussle basketball,Facebook,5,2025-08-17T11:13:31Z,526.0.0,False,0,Fece book,,us
TriMist,Great little app,5,2025-08-17T11:10:38Z,526.0.0,False,0,"I absolutely love this app as it allows me to keep in contact with friends and family both and also find new friends and mingle with some celebrities. What I don’t like about this app are the perverts who thinks this app is a dating site and will hit on any woman even if they’re in a relationship or are married. Oh and the scammers are a nightmare to boot. I’ve noticed that a lot of new changes have been made to the style of Facebook and the way we comment. The new style will take some time getting used too, but overall it isn’t bad. Thanks for building this app. Just limit scammers please.",,us
Ginnybranham29,Annoying,3,2025-08-17T11:06:29Z,526.0.0,False,0,Tired of all the extra pages that show up when I didn’t want for them!!,,us
sir apeeska,Top,5,2025-08-17T11:05:58Z,526.0.0,False,0,Top,,us
FRANCIS Leonel,Francis,5,2025-08-17T11:04:18Z,526.0.0,False,0,Me gusta ese tipo de videos,,us
Unhappy22737373,No support,1,2025-08-17T11:02:20Z,526.0.0,False,0,Facebook has absolutely No customer support. Someone hacked into my account and used my credit card to purchase ads. Luckily my Credit Card company helped get my money back. Facebook did nothing. There’s no number to call and no chat feature. Apparently I’m not the only one dealing with this. This is a know issue and Facebook is quiet about it. I’m tech savvy and this still happened to me. I would stay far away from Facebook and Meta!,,us
jazzmundson,Don’t really care about hackers as much as they say…,1,2025-08-17T10:38:37Z,526.0.0,False,0,"I lost my account from a hacker, back in February of 2025, I tired desperately for mi the to get a hold of someone to help me…it’s now August, and without any response EVER from Meta support, I found out by accident that my account was re-enabled. I lost not only my personal account; but both my business accounts, plus a connected IG account, costing me tons of money in lost business. I guess I’m glad to be back for now so I can communicate to past customers why I disappeared, but I know now Meta can’t be trusted as a place for me to do business. Merely a placeholder now until I find another better solution reliable platform!",,us
Eddie Del,Me,5,2025-08-17T10:35:16Z,526.0.0,False,0,Pay me Facebook!,,us
Mopedmatt,Too many ads,1,2025-08-17T10:31:44Z,526.0.0,False,0,I remember a time where Facebook ads only accounted for a very small amount of content. Mark Zuckerburg seems to have gotten really greedy and sold out making this app experience pretty bad from what it was 10years ago.,,us
Maria xinvke,Un éxito,5,2025-08-17T10:30:48Z,526.0.0,False,0,Grandioso,,us
AmericanNNNN,Stop censoring people,1,2025-08-17T10:28:03Z,526.0.0,False,0,This is America and if I want to tell someone how I feel and you restrict my account you are violating my rights,,us
Chula C,Facebook,1,2025-08-17T10:13:51Z,526.0.0,False,0,Facebook is very nosy the employees read your inbox messages along with everything you post,,us
auburama18,Horrible,1,2025-08-17T10:07:03Z,526.0.0,False,0,Crashing all the time,,us
Messi 10 crack,Modo profesional,1,2025-08-17T09:52:03Z,526.0.0,False,0,"Sus actualizaciones son pésimas yo aún no tengo la opción de modo profesional ya lo reporte más de 20
Veces y nadie hace nada",,us
Pete the Pilgrim,Fraud/Deception/Perversion,1,2025-08-17T09:45:10Z,526.0.0,False,0,"The platform has fallen. FB allows fraudsters to litter the platform uncontrolled. All FB influencers are plagued with fake profiles. FB reels mostly consist of foreign accounts with perverted little girl sex exploitation videos.
It's out of control and Facebook allows it . FB platform has fallen to evil.",,us
Urbancountryman,Posts too limited by algorithms,1,2025-08-17T09:38:03Z,526.0.0,False,0,Tiring of only reaching the same people. Not a good use of my time.,,us
InfiniteBlueS0A,Feed issues,1,2025-08-17T09:35:45Z,526.0.0,False,0,Fix the feed issues i try refreshing it and is still the same. Facebook update is not appeared on my appstored.,,us
humarock 55,Humarock 55,4,2025-08-17T09:34:36Z,526.0.0,False,0,"I enjoy messenger. It’s on my phone.
Right now I’m trying to get my password. Anyone have any ideas? I haven’t used Facebook in quite a while. It’s changed!!!",,us
Jae bling,I wish my marketplace work as well,5,2025-08-17T09:34:12Z,526.0.0,False,0,Facebook is great I love Facebook only thing is I don’t like is my marketplace doesn’t seem to work,,us
“Vi”,Facebook Has become Political,1,2025-08-17T09:25:49Z,526.0.0,False,0,"Those who dont approve of DJT are hasseled by pop ups and messages that you have been hacked when clicking on certain articles. Also, seem to get unwanted articles of DJT which I didnt request.",,us
Ketchup Ann,Love Facebook!,5,2025-08-17T09:05:43Z,526.0.0,False,0,Able to keep in touch with friends - and keep aware of politics.,,us
