userName,title,rating,date,version,isEdited,voteCount,review,developerResponse,country
manidajon,Music Options,1,2025-08-17T15:25:05Z,393.1.0,False,0,"Instagram’s song library has to be one of the most frustrating parts of the app. For a platform that thrives on trends, reels, and creative expression, you’d think they would have the most up-to-date music catalog. Instead, it feels like we’re stuck with scraps.

Half the time, the actual trending songs that are blowing up on TikTok or Spotify aren’t even available. And when they are there, they’re often random remixes, sped-up/slow-down versions, or some bootleg copy instead of the real track. It completely kills the vibe when you’re trying to make a reel that matches a popular trend but Instagram just… doesn’t have the song.

What makes it worse is how inconsistent it is. Some creators have access to certain songs, while others don’t because of region or account type. Meanwhile, Instagram keeps pushing reels as their main feature, but how are we supposed to compete or keep up with trends if we don’t even have the right tools?

At this point, Instagram’s music library feels like a watered-down version of what social media should be offering. Until they fix licensing, update their catalog regularly, and actually give users access to the same trending music that everyone else is using, the song selection is nothing short of horrible.

⭐ 1/5 — only because silence isn’t an option.",,us
Tgdke,А,1,2025-08-17T15:18:46Z,393.1.0,False,0,Не работает прямой эфир,,us
Master.Obi.Juan.Kenobi,Stop banning people,1,2025-08-17T14:28:32Z,393.1.0,False,0,"The new ai stuff that has been banning people on basically all apps are just going too far. And when i try to appeal, it just wont work or it isnt even evaluated. People should be monitoring this, not ai.",,us
Kanjifunds,Insta Bug,1,2025-08-17T14:18:53Z,393.1.0,False,0,Won’t let me log in to my account multiple times I put in the right password and it says it’s wrong I been waiting for months and it still doesn’t work and also my accounts keep getting suspended,,us
Laxolot,Instagram's grid layout,1,2025-08-17T14:18:24Z,393.1.0,False,0,"The recent changes to Instagram's grid layout have impacted the visual consistency that many users, especially creatives and brands, rely on. The traditional square grid offered a cleaner, more balanced way to present content, and its removal has disrupted the overall aesthetic appeal of profiles. A return to the classic format would enhance user experience and maintain the platform's visual integrity.",,us
pmtfo.,fix ts.,2,2025-08-17T14:09:57Z,393.1.0,False,0,they suspended my account for no reason and won’t give it back even after I emailed them and all.,,us
Bighomiefromda5thfloor,Follow Limit,1,2025-08-17T14:08:14Z,393.1.0,False,0,Yo Instagram Take the follow limit off & I’ll give it a better rating,,us
Eddie Berns,Give option for square grid!!!,1,2025-08-17T14:02:50Z,393.1.0,False,0,The switch to a rectangular format is awful. Can you please give us the option to go back to squares for our profile grid? So many people’s profile pages are ruined.,,us
idk7283233,L,1,2025-08-17T13:56:44Z,393.1.0,False,0,Keeps banning me for no reason and accusing me of inappropriate and illegal things. Has banned over 3 account of mines even when they are disabled and has not responded to my email about my accounts. Very inconsiderate and inappropriate.,,us
oookkkookkkkkk,Pictures,1,2025-08-17T13:48:34Z,393.1.0,False,0,Tired of yall cutting my pictures out,,us
Josedg92,Post directly to profile removed,1,2025-08-17T13:48:13Z,393.1.0,False,0,straight to the point: how a good feauture is removed twice: first it was called Post quietly now Post directly to profile and was removed… this app is downgrading. Please bring the original threads app back (the one that was like messenger. Please bring post directly to profile back,,us
D00m Scroller,GREATLY DISAPPOINTED AND CONFUZZLED,1,2025-08-17T13:45:19Z,393.1.0,False,0,i never went against instagrams guidelines on any of my accounts. every single account i’ve made has gotten suspended and their reason is because “i might be connected to an account that goes against instagrams community guidelines.” HELLO?? might is crazy. 0 stars. i used to love instagram. one day i would use it the next day i would be suspended and their reason i have a feeling they never look into the appeals because i never get an update.,,us
